"videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"54PjzjQv1W0","我老婆本來想跟在早餐店工作過的朋友一起開早餐店,但是他們的計劃就是先開了再說,從市場/地緣/客群/賣那些完全都沒有做,被我勸退(雖然鬧到差點離婚..........)","我老婆本來想跟在早餐店工作過的朋友一起開早餐店,但是他們的計劃就是先開了再說,從市場/地緣/客群/賣那些完全都沒有做,被我勸退(雖然鬧到差點離婚..........)","王小翔","https://yt3.ggpht.com/ytc/AGIKgqO-Yr3VfBHryQE1a6cc5jRI92NiKZFwFXf2Ew=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC0FQiKNtEf_RwhNKmi7vqBA","UC0FQiKNtEf_RwhNKmi7vqBA","TRUE","none",5,"2023-05-24T13:14:56Z","2023-05-24T13:14:56Z","UgwIpro1mxkmajNRFgV4AaABAg",NA,NA
"54PjzjQv1W0","我觉得没有太必要攻击那个吃醋的女生，因为她可能是独生女，没有过那么亲密的同龄人，所以会觉得她男朋友和姐姐过于亲密。与之相对的是，虽然亲人之间变生疏会不舒服，但是（自己或家人）有了伴侣之后还是要有责任感和觉悟，尽量避一下嫌。毕竟男女有别，很多家庭里就连父亲和女儿在女儿青春期之后都会保持一定的距离而避免误会。不是说强迫大家去疏远自己的亲人，而是建议说人与人之间读空气和保持适当的距离感很重要","我觉得没有太必要攻击那个吃醋的女生，因为她可能是独生女，没有过那么亲密的同龄人，所以会觉得她男朋友和姐姐过于亲密。与之相对的是，虽然亲人之间变生疏会不舒服，但是（自己或家人）有了伴侣之后还是要有责任感和觉悟，尽量避一下嫌。毕竟男女有别，很多家庭里就连父亲和女儿在女儿青春期之后都会保持一定的距离而避免误会。不是说强迫大家去疏远自己的亲人，而是建议说人与人之间读空气和保持适当的距离感很重要","Eva Ng","https://yt3.ggpht.com/yBoe0Tobvol-LeXd3ezp_G9EkO07AIVfQ7JRddx8rZcIpV78QxyifciGpPnlmpCqCKfyeJSxlrQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGMgIMA2WfcrJXbZurFBt_A","UCGMgIMA2WfcrJXbZurFBt_A","TRUE","none",16,"2023-05-24T13:08:42Z","2023-05-24T13:08:42Z","UgwSINWBTyWQbh4vuVh4AaABAg",NA,NA
"54PjzjQv1W0","肛門那段我直覺把剛剛的晚餐吐出來","肛門那段我直覺把剛剛的晚餐吐出來","he he","https://yt3.ggpht.com/ytc/AGIKgqOFHdeRtD05usHyx2TUminV0jv_7CgpRq_ffGtUag=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCzXS2XtcoQkFM4y95fSEVXg","UCzXS2XtcoQkFM4y95fSEVXg","TRUE","none",0,"2023-05-24T13:05:34Z","2023-05-24T13:05:34Z","Ugwtem5l7b8zTrnXxtd4AaABAg",NA,NA
"54PjzjQv1W0","感觉好像比较少跟滴妹的互动哦，是我的错觉吗？","感觉好像比较少跟滴妹的互动哦，是我的错觉吗？","Chen Tar","https://yt3.ggpht.com/ytc/AGIKgqMAajOrV-mmGAW7sLBqRSFGDuIFA0TvdhMP1A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC89t8O8yejHv5mG8JHH1FwQ","UC89t8O8yejHv5mG8JHH1FwQ","TRUE","none",1,"2023-05-24T13:03:41Z","2023-05-24T13:03:41Z","UgwQ4mqTbKD_RU_smat4AaABAg",NA,NA
"54PjzjQv1W0","想看 dcard x toyz 影片","想看 dcard x toyz 影片","廖炳翔","https://yt3.ggpht.com/ytc/AGIKgqMNvRR5pwVBrv99f1Op8ojACU2chI-I32Rkcw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCDV7wu9S87dbRG7dSMZXKNg","UCDV7wu9S87dbRG7dSMZXKNg","TRUE","none",1,"2023-05-24T13:01:39Z","2023-05-24T13:01:39Z","Ugz4IBeg_7sUYCaRLk94AaABAg",NA,NA
"54PjzjQv1W0","表白滴妹跟全家合作的系列都很棒很好吃❤❤❤","表白滴妹跟全家合作的系列都很棒很好吃❤❤❤","Carlo Suu","https://yt3.ggpht.com/ytc/AGIKgqOA6Gd0-rlZBFrSi7pIYXGhn4gsM71PoJXLm6iNwA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCh51J_JHIcnY4pk9g6mXSIg","UCh51J_JHIcnY4pk9g6mXSIg","TRUE","none",0,"2023-05-26T15:23:59Z","2023-05-26T15:23:59Z","UgwChit2mZWkBezguhx4AaABAg.9q5WRe-koWF9qB1Cv36W-r","UgwChit2mZWkBezguhx4AaABAg",NA
"54PjzjQv1W0","<b>你的飲料真的耖他媽的難喝</b>","*你的飲料真的耖他媽的難喝*","睿","https://yt3.ggpht.com/ytc/AGIKgqN_vt84qKS6KZdGzgVSwvfc5JLMWQtMBY_3twI7=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCATreNlizpooDp2Z26sunTw","UCATreNlizpooDp2Z26sunTw","TRUE","none",1,"2023-05-25T16:44:31Z","2023-05-25T16:44:44Z","UgwChit2mZWkBezguhx4AaABAg.9q5WRe-koWF9q8actemrRj","UgwChit2mZWkBezguhx4AaABAg",NA
"54PjzjQv1W0","滴妹左手怎麽了？是受傷嗎？","滴妹左手怎麽了？是受傷嗎？","jimmy wan","https://yt3.ggpht.com/ytc/AGIKgqP1VsvjAnuw_uSH2XBEHIu6_IM4JAzAkMUSSQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCeRSNHtgOqSgh7tJo6HMDuw","UCeRSNHtgOqSgh7tJo6HMDuw","TRUE","none",0,"2023-05-25T14:19:51Z","2023-05-25T14:19:51Z","UgwChit2mZWkBezguhx4AaABAg.9q5WRe-koWF9q8L4HvBS1-","UgwChit2mZWkBezguhx4AaABAg",NA
"54PjzjQv1W0","Mr. Brown 喝了在睡五分鐘，嚇到從來沒喝過那麼好喝的手搖飲料，所以去唸博士班去做研究.... 畢業了Dr. Brown","Mr. Brown 喝了在睡五分鐘，嚇到從來沒喝過那麼好喝的手搖飲料，所以去唸博士班去做研究.... 畢業了Dr. Brown","Halfxue","https://yt3.ggpht.com/ytc/AGIKgqNIwLB9sq0Mm_QNalwT5UlIuXSbQmJMzPJx-qfB=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCV_1ElJ3VX3KgKuoXdTHvSg","UCV_1ElJ3VX3KgKuoXdTHvSg","TRUE","none",1,"2023-05-25T08:27:20Z","2023-05-25T08:27:20Z","UgwChit2mZWkBezguhx4AaABAg.9q5WRe-koWF9q7hjMhruhv","UgwChit2mZWkBezguhx4AaABAg",NA
"54PjzjQv1W0","恭喜再睡3週年了🏆我3年前就是在北車店喝到全糖女神從那日起我就喜歡喝再睡的飲料 雖然現在年紀漸長也沒能敢喝太甜了但始終忘不了那杯全糖女神帶給我的驚喜!!! 果然只有手搖飲最療癒❤ 滴妹加油~","恭喜再睡3週年了🏆我3年前就是在北車店喝到全糖女神從那日起我就喜歡喝再睡的飲料 雖然現在年紀漸長也沒能敢喝太甜了但始終忘不了那杯全糖女神帶給我的驚喜!!! 果然只有手搖飲最療癒❤ 滴妹加油~","zoe chen","https://yt3.ggpht.com/ytc/AGIKgqMBtbW-dr8HKPJC1BldWEIUXgOC6ffLGE2jig0q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCc8yLXXbKry79RET0prDUww","UCc8yLXXbKry79RET0prDUww","TRUE","none",1,"2023-05-25T03:15:01Z","2023-05-25T03:15:01Z","UgwChit2mZWkBezguhx4AaABAg.9q5WRe-koWF9q78zxhHKYR","UgwChit2mZWkBezguhx4AaABAg",NA
